,file_name,size,time,peak_spped,valley_speed,mean_speed,peak_area_before,peak_std_area_before,peak_fre_before,peak_area_after,peak_std_area_after,peak_fre_after,valley_area_before,valley_std_area_before,valley_fre_before,valley_area_after,valley_std_area_after,valley_fre_after
0,left_bare_01.hkl,1.01,52.33,47.16,52.17,49.665,94.34,7.92,1744.9492038371022,95.76,3.97,103.95222555586882,6.3,3.97,1190.3784067735216,6.29,3.97,44.886248466295214
1,left_bare_02.hkl,0.89,46.29,58.61,58.71,58.66,92.47,6.17,16960.768123523274,99.25,4.26,225.33698914814968,4.94,4.26,15856.002714787111,5.03,4.26,67.19930704915278
2,left_bare_03.hkl,1.02,55.17,51.84,51.94,51.89,103.72,10.73,21255.0063831237,99.74,5.68,148.87366424097675,5.7,5.68,20010.897902943983,5.39,5.68,58.2107740686613
3,left_bare_04.hkl,0.99,51.5,51.07,52.93,52.0,89.07,5.69,23896.802257939813,96.12,4.37,208.00960701700657,5.6,4.37,21047.27501710423,6.11,4.37,142.7963641492162
4,left_bare_05.hkl,1.15,59.63,48.08,48.87,48.474999999999994,90.37,5.36,17170.62033289793,99.5,4.04,219.98921248564136,5.0,4.04,13391.64293109528,5.48,4.04,142.32248895800188
5,left_bare_06.hkl,1.07,55.82,49.76,45.72,47.739999999999995,91.42,6.9,14186.598136010125,98.43,6.29,149.96305343659023,7.66,6.29,11741.672514477537,7.27,6.29,187.70170047435712
6,left_bare_07.hkl,1.01,51.85,54.61,51.2,52.905,97.16,8.74,24246.1942692619,102.05,5.87,132.99817671158672,7.91,5.87,26947.19961773536,7.18,5.87,137.8310819706289
7,left_bare_08.hkl,0.92,47.19,49.48,52.84,51.16,92.23,4.87,11327.371655174305,98.86,4.47,131.21000230355466,5.56,4.47,10684.096648196492,5.81,4.47,92.53726639968734
8,left_bare_09.hkl,0.74,38.03,54.06,54.62,54.34,89.6,6.87,14204.791097509604,98.83,6.09,137.12410515716678,5.34,6.09,13424.362657540913,5.75,6.09,110.7898540786961
9,left_bare_10.hkl,0.86,43.85,49.09,52.37,50.730000000000004,94.61,7.26,9163.134779513934,102.59,5.83,104.7245838458299,5.32,5.83,8605.20593481864,5.7,5.83,92.70460955616927
10,left_bare_21.hkl,0.91,48.89,56.78,56.05,56.415,30.36,3.38,284231.4679852893,98.03,7.9,172.76624277904455,1.94,7.9,170249.7846761528,4.96,7.9,497.2685771608056
11,left_bare_22.hkl,0.98,52.79,51.55,50.92,51.235,136.4,15.44,34055.94370494469,102.22,7.06,76.4871931941677,10.89,7.06,24706.2535775724,7.21,7.06,87.00455440906359
12,left_bare_23.hkl,0.76,38.63,53.2,54.57,53.885000000000005,19.25,1.83,52915.87798794385,91.02,4.39,57.363231878610144,1.11,4.39,49728.22835622584,4.3,4.39,696.1388366543322
13,left_bare_24.hkl,0.85,43.52,63.05,54.87,58.959999999999994,47.64,4.26,224907.99768167423,100.31,6.05,137.85379214273206,4.72,6.05,180736.05656081237,8.2,6.05,250.0386258071592
14,left_bare_25.hkl,0.69,35.39,54.16,53.74,53.95,19.47,3.84,44159.13190791315,100.23,9.54,60.05003918887206,1.31,9.54,33934.240823746935,6.32,9.54,306.69180315627494
15,left_bare_26.hkl,0.75,39.53,51.98,55.09,53.535,34.91,2.63,86689.9463885829,109.71,6.17,128.23923167056523,2.47,6.17,44509.880513902855,6.15,6.17,276.42398517268333
16,left_bare_27.hkl,0.79,39.67,60.7,62.6,61.650000000000006,36.23,3.59,27511.79569032647,105.66,7.48,74.65157224491789,1.69,7.48,27695.868336512744,4.42,7.48,92.34587925967419
17,left_bare_28.hkl,0.69,36.5,56.44,54.89,55.665,16.82,1.14,53365.518682883056,107.26,5.34,65.77186407920486,1.26,5.34,52297.90003693134,6.76,5.34,120.5537883538352
18,left_bare_29.hkl,0.87,43.92,63.31,61.36,62.335,69.82,6.51,126632.61842551993,116.14,4.55,83.94631829800937,4.44,4.55,147450.0625894039,6.29,4.55,105.68267251917185
19,left_bare_30.hkl,0.7,36.73,57.73,55.22,56.474999999999994,54.16,7.15,204033.17025117754,112.39,6.96,80.07930799543463,4.59,6.96,204927.4678673389,7.92,6.96,126.6677009054211
20,left_1rb_01.hkl,0.84,44.99,49.98,55.0,52.489999999999995,64.94,6.35,42096.611569120454,99.31,8.58,386.8971452528446,13.15,8.58,46188.38381913501,13.77,8.58,654.6304607855211
21,left_1rb_02.hkl,0.94,48.12,56.79,52.59,54.69,73.32,10.21,131721.9048080769,106.95,9.75,350.55804877123353,12.63,9.75,152093.71590798764,13.17,9.75,664.3936580719247
22,left_1rb_03.hkl,0.74,38.83,56.49,49.32,52.905,65.21,7.02,104540.58914283827,98.46,6.19,269.88923388711095,9.94,6.19,111658.37488382055,11.01,6.19,665.7255277705451
23,left_1rb_04.hkl,0.72,37.39,56.26,53.38,54.82,60.64,4.88,86677.34456712483,97.04,6.11,230.39908355920417,9.46,6.11,80435.76150369488,11.1,6.11,762.4236044187952
24,left_1rb_05.hkl,0.7,36.83,56.97,48.44,52.705,60.15,6.07,87259.17610543857,95.19,7.1,595.0341496530563,7.47,7.1,81299.75140490779,8.13,7.1,614.1593615757015
25,left_1rb_06.hkl,0.78,40.72,60.89,44.47,52.68,55.24,10.35,152683.4405404956,94.02,14.26,738.9069221593402,6.22,14.26,91932.12761510795,7.38,14.26,527.4246515433165
26,left_1rb_07.hkl,0.74,39.14,51.88,41.69,46.785,51.17,10.8,147243.9192473951,89.25,15.15,736.7953991400125,3.02,15.15,108288.74228606292,3.88,15.15,498.32161339306623
27,left_1rb_08.hkl,0.75,40.69,61.17,46.83,54.0,64.13,8.49,156556.23587571524,101.32,9.76,571.3026800602225,6.11,9.76,102700.96105788328,6.65,9.76,617.384818625192
28,left_1rb_09.hkl,0.77,40.55,59.46,55.41,57.435,56.76,4.48,107237.59608394008,96.67,5.99,568.8812200263618,4.87,5.99,84188.62089865813,5.78,5.99,721.351227594364
29,left_1rb_10.hkl,0.78,41.06,54.34,50.79,52.565,56.8,9.76,133371.07757595865,96.85,14.24,809.878642849447,3.89,14.24,115805.78541639246,4.52,14.24,707.6260404559805
30,left_1rb_11.hkl,0.83,40.56,67.44,66.92,67.18,18.06,2.36,109490.07585604874,93.15,8.71,162.35204454977622,3.83,8.71,113949.04500204686,13.74,8.71,606.0279426160328
31,left_1rb_12.hkl,0.8,40.13,66.57,64.09,65.33,36.11,6.23,268333.12787810905,107.44,8.81,319.1258850718593,5.49,8.81,273290.8396476871,11.29,8.81,744.9892767390136
32,left_1rb_13.hkl,0.69,36.0,62.46,62.74,62.6,53.83,7.29,157662.20919353593,112.27,6.41,388.8718274790146,8.21,6.41,170755.50712414223,12.2,6.41,581.1388151415293
33,left_1rb_14.hkl,0.79,39.24,63.65,63.56,63.605000000000004,16.6,1.72,48638.524334638285,96.77,6.85,300.23366882428115,3.1,6.85,44295.84587302288,12.7,6.85,634.4665667576954
34,left_1rb_15.hkl,0.7,36.8,59.9,59.84,59.870000000000005,59.33,7.46,106561.29253168196,112.73,11.66,901.2195202677738,9.02,11.66,126957.62452978782,12.21,11.66,742.3224351710954
35,left_1rb_16.hkl,0.75,38.09,56.38,56.22,56.3,21.32,3.02,51989.068237021245,97.64,8.67,304.1484463463333,3.12,8.67,53150.12529032267,10.2,8.67,634.6548625293655
36,left_1rb_17.hkl,0.78,40.16,54.17,52.33,53.25,49.35,5.79,64869.80671518383,107.57,8.24,389.3491302092097,6.94,8.24,72032.46903876195,10.88,8.24,510.2719856543197
37,left_1rb_18.hkl,0.73,38.02,57.76,57.69,57.724999999999994,10.04,1.1,91724.18413680447,88.92,7.08,273.3410740195522,1.17,7.08,94000.60288124639,7.07,7.08,804.3199459821318
38,left_1rb_19.hkl,0.7,34.36,55.59,56.22,55.905,74.7,5.26,178450.84360489313,125.2,5.64,926.572657771505,9.83,5.64,195707.30064702788,13.02,5.64,597.1343507989278
39,left_1rb_20.hkl,0.73,37.7,58.2,57.97,58.085,27.95,1.96,52067.7194878766,111.68,7.54,903.8183909402751,3.55,7.54,55462.7319591274,10.79,7.54,851.8343615182564
40,left_2rb_01.hkl,0.71,36.78,54.68,49.46,52.07,43.83,7.29,77132.84045422016,72.06,9.71,716.6602543929309,10.5,9.71,57126.06827202786,11.4,9.71,572.042614387754
41,left_2rb_02.hkl,0.7,34.96,57.85,56.88,57.365,40.85,6.91,110733.36352742325,66.21,10.4,1126.9031553414768,9.01,10.4,92712.1877380909,9.57,10.4,598.6305400603881
42,left_2rb_03.hkl,0.89,45.65,51.65,49.52,50.585,46.1,5.92,229365.21649991447,74.44,9.02,1182.9085553784241,10.63,9.02,185494.5374955382,11.08,9.02,972.8846483357316
43,left_2rb_04.hkl,0.74,36.69,51.07,52.14,51.605000000000004,45.65,6.31,95136.97628715979,67.49,8.88,796.4694316606754,11.22,8.88,76592.67298720911,11.22,8.88,706.4088125198564
44,left_2rb_05.hkl,0.67,34.78,54.82,48.0,51.41,44.32,7.59,68294.12978743443,69.44,8.93,571.5963194893527,11.37,8.93,56886.97105419001,11.99,8.93,555.3320235545074
45,left_2rb_06.hkl,0.69,34.31,55.41,52.68,54.045,40.94,4.8,91046.77507990414,63.1,7.87,774.8354994358024,10.86,7.87,69758.7352460884,11.21,7.87,557.5651914816751
46,left_2rb_07.hkl,0.69,35.38,53.47,46.85,50.16,45.1,5.43,114300.34954438366,70.63,7.2,1099.7222890603161,10.1,7.2,79992.0038693708,10.78,7.2,655.1624242660129
47,left_2rb_08.hkl,0.73,36.65,54.33,50.76,52.545,35.88,7.08,145476.013857924,61.04,11.38,971.7857224574674,7.88,11.38,87796.50620634256,9.24,11.38,503.73314064488625
48,left_2rb_09.hkl,0.79,39.18,52.68,49.87,51.275,34.39,4.89,149677.3422558132,62.34,7.75,949.5709167174771,8.33,7.75,103530.8363459411,10.34,7.75,659.6427050780597
49,left_2rb_10.hkl,0.71,35.18,48.41,46.73,47.56999999999999,45.47,3.52,23824.169805953003,75.35,4.45,189.03947783438764,11.41,4.45,18180.510282819338,13.19,4.45,627.6244797171522
50,left_2rb_11.hkl,0.69,36.13,57.03,57.14,57.085,13.55,1.37,23403.849386380738,68.64,5.14,383.3482172463634,3.1,5.14,14557.444456161138,10.66,5.14,594.3832048113818
51,left_2rb_12.hkl,0.69,36.16,48.81,50.91,49.86,60.93,8.67,99296.17584054018,76.92,9.23,542.9670342130336,14.03,9.23,89852.3083946926,11.98,9.23,602.3842442617464
52,left_2rb_13.hkl,0.69,34.69,61.2,57.96,59.58,17.73,1.84,48493.10430906384,73.13,6.0,341.2438450887968,3.54,6.0,43293.14447181624,10.1,6.0,800.9832894783772
53,left_2rb_14.hkl,0.7,36.42,58.61,56.27,57.44,28.49,3.87,27486.03950901785,76.14,7.26,486.92623103507395,4.88,7.26,36035.41806377296,9.02,7.26,902.2297380500827
54,left_2rb_15.hkl,0.87,44.11,45.51,44.25,44.879999999999995,18.62,2.89,44282.33642039574,87.61,10.59,1222.8064809968603,3.68,10.59,28256.471288961904,11.77,10.59,1148.9716032469257
55,left_2rb_16.hkl,0.83,43.25,54.7,54.57,54.635000000000005,55.36,6.43,104485.05030564654,90.09,7.87,1564.5999319604803,11.49,7.87,85037.40793965718,11.78,7.87,1199.8496166721895
56,left_2rb_17.hkl,0.71,37.35,52.8,50.44,51.62,11.86,1.93,28600.51354897493,66.32,8.22,532.6174656834481,2.79,8.22,21930.72276205959,10.56,8.22,870.7454499880058
57,left_2rb_18.hkl,0.77,37.71,35.71,28.48,32.095,57.02,11.66,23883.657495204985,78.25,7.76,612.2319574378972,13.73,7.76,16780.459207927343,13.23,7.76,548.7693283884279
58,left_2rb_19.hkl,0.7,37.28,54.5,53.11,53.805,32.62,4.19,56340.45683223055,94.33,10.16,1408.2100158854446,5.27,10.16,47855.96685396915,10.02,10.16,1318.4291118175126
59,left_2rb_20.hkl,0.73,37.25,49.53,52.13,50.83,9.2,0.88,32844.88164254368,68.91,5.14,418.46650054891893,2.51,5.14,23425.753593403144,13.39,5.14,631.9382737401877
60,left_3rb_01.hkl,0.85,43.65,42.91,42.54,42.724999999999994,40.58,3.66,55893.93726873916,60.51,4.61,1281.3619547525118,7.96,4.61,33240.66049123637,7.62,4.61,1045.744345979004
61,left_3rb_02.hkl,0.77,38.03,44.24,39.95,42.095,37.21,3.02,59770.59649111658,62.05,4.98,1420.3644499916672,7.24,4.98,38184.86168748439,7.62,4.98,1143.3560831709271
62,left_3rb_03.hkl,0.75,38.78,37.15,37.51,37.33,34.14,2.44,29108.853294620698,58.85,4.32,807.580948574056,7.87,4.32,16044.421327103482,8.52,4.32,622.389350521315
63,left_3rb_04.hkl,0.8,39.81,22.29,18.5,20.395,29.5,5.64,14762.360728502972,48.0,8.69,192.20711946451027,5.42,8.69,6494.920786821839,6.62,8.69,270.5089366076129
64,left_3rb_05.hkl,0.9,46.45,31.75,28.83,30.29,24.08,3.49,16205.888156243665,38.75,5.23,373.895089822812,4.09,5.23,3995.0724633542814,4.89,5.23,558.8491584663029
65,left_3rb_06.hkl,0.68,35.31,36.34,34.0,35.17,25.78,2.85,16969.272293838374,42.44,4.47,542.2833491756279,2.77,4.47,5547.790533331778,3.42,4.47,655.2925952708345
66,left_3rb_07.hkl,0.72,37.59,44.05,40.55,42.3,27.49,4.69,9962.703713638444,48.35,7.05,407.2570299590994,4.9,7.05,5097.945653934109,6.17,7.05,710.900889027614
67,left_3rb_08.hkl,0.69,35.42,45.67,41.65,43.66,26.43,2.73,11286.809141846594,48.02,5.57,783.767979068828,3.6,5.57,3495.2176140023416,4.87,5.57,665.9431572152114
68,left_3rb_09.hkl,0.73,37.79,41.53,34.85,38.19,22.4,3.97,23615.82448776497,42.97,7.27,806.5299810152791,3.98,7.27,16690.47178031195,5.68,7.27,846.9712231667145
69,left_3rb_10.hkl,0.92,47.79,40.83,37.52,39.175,24.16,2.68,22620.82168718503,45.28,4.75,1889.401776270082,5.95,4.75,10166.504221459729,8.28,4.75,1343.961312908472
70,left_3rb_11.hkl,0.72,37.43,41.05,32.09,36.57,9.77,2.06,16367.157172383555,45.1,5.78,141.87900618514095,2.59,5.78,7519.8128593387755,7.21,5.78,508.42826223071006
71,left_3rb_12.hkl,0.65,34.39,31.85,32.2,32.025000000000006,54.88,10.66,28771.7205203648,65.14,7.71,1575.0571627981778,8.73,7.71,15920.079777320921,7.6,7.71,949.6464797366995
72,left_3rb_13.hkl,0.67,34.55,41.74,31.94,36.84,4.24,0.6,42294.19302553679,34.11,5.87,76.10077290940647,1.18,5.87,35525.449606808215,6.09,5.87,476.28648740398165
73,left_3rb_14.hkl,0.72,37.06,37.47,31.92,34.695,41.95,5.07,26643.95368994134,51.0,6.77,3266.9920500153094,10.3,6.77,31685.812558123893,9.29,6.77,1417.650811488675
74,left_3rb_15.hkl,0.75,37.29,39.51,20.64,30.075,2.93,0.44,47324.747730211355,28.85,5.04,213.9396262286604,0.88,5.04,29778.44529815267,6.25,5.04,274.531368937091
75,left_3rb_16.hkl,0.87,44.59,47.94,41.52,44.730000000000004,8.32,1.37,54277.40380491388,40.23,7.52,256.21777861019723,2.11,7.52,51400.30034132396,7.22,7.52,1050.8499346387464
76,left_3rb_17.hkl,0.7,36.08,50.89,40.13,45.510000000000005,31.54,5.6,33321.566714543354,49.6,5.89,855.7770896258429,5.12,5.89,26262.930163346802,5.94,5.89,837.5031943072704
77,left_3rb_18.hkl,0.72,37.55,28.59,25.13,26.86,4.39,0.7,38683.87874221072,44.02,6.56,149.71631835434147,1.33,6.56,40661.47586499104,8.99,6.56,362.34060763477686
78,left_3rb_19.hkl,0.7,35.8,47.04,41.39,44.215,45.99,6.43,52174.493676843835,52.43,7.68,1008.3909254823748,8.39,7.68,41834.41356592807,6.64,7.68,933.7608206048232
79,left_3rb_20.hkl,0.71,37.71,42.41,37.18,39.795,5.97,1.05,29176.931725487688,39.77,6.63,354.84461583946313,1.42,6.63,23193.542364028017,7.13,6.63,918.9195388349175
